,0
2498,780
2499,960
2500,1260
2501,660
2502,540
2503,1020
2504,1800
2505,660
2506,600
2507,600
2508,660
2509,360
2510,1080
2511,300
2512,900
2513,720
2514,300
2515,240
2516,660
2517,300
2518,360
2519,300
2520,420
2521,240
2522,420
2523,300
2524,120
2525,240
2526,480
2527,840
2528,840
2529,1140
2530,1020
2531,960
2532,960
2533,1080
2534,240
2535,300
2536,720
2537,300
2538,480
2539,540
2540,720
2541,600
2542,0
2543,300
2544,360
2545,600
2546,360
2547,540
2548,1560
2549,840
2550,360
2551,420
2552,420
2553,480
2554,2160
2555,540
2556,540
2557,0
2558,1140
2559,840
2560,300
2561,120
2562,780
2563,840
2564,780
2565,780
2566,720
2567,1320
2568,780
2569,960
2570,1080
2571,1020
2572,1260
2573,900
2574,720
2575,840
2576,900
2577,1080
2578,1020
2579,1620
2580,1920
2581,900
2582,1320
2583,960
2584,720
2585,720
2586,600
2587,480
2588,480
2589,480
2590,480
2591,480
2592,360
2593,600
2594,360
2595,240
2596,300
2597,240
2598,180
2599,600
2600,240
2601,720
2602,360
2603,360
2604,1680
2605,300
2606,660
2607,720
2608,660
2609,780
2610,240
2611,720
2612,1380
2613,0
2614,780
2615,480
2616,780
2617,840
2618,960
2619,1320
2620,1080
2621,780
2622,1200
2623,1380
2624,1260
2625,840
2626,1140
2627,0
2628,0
2629,0
2630,0
2631,480
2632,300
2633,360
2634,0
2635,2460
2636,0
2637,2040
2638,180
2639,1380
2640,2640
2641,1320
2642,900
2643,900
2644,780
2645,900
2646,1500
2647,1500
2648,1740
2649,1080
2650,840
2651,840
2652,1320
2653,1440
2654,1140
2655,1200
2656,1320
2657,900
2658,1200
2659,900
2660,960
2661,1260
2662,960
2663,720
2664,1200
2665,1020
2666,1620
2667,1380
2668,1440
2669,840
2670,900
2671,1260
2672,1020
2673,1200
2674,780
2675,960
2676,1320
2677,960
2678,960
2679,1140
2680,1140
2681,960
2682,720
2683,780
2684,840
2685,1020
2686,780
2687,1080
2688,1740
2689,1080
2690,1200
2691,900
2692,840
2693,840
2694,1200
2695,1020
2696,1500
2697,1140
2698,840
2699,840
2700,720
2701,1080
2702,1380
2703,1560
2704,1320
2705,2100
2706,2040
2707,2520
2708,2220
2709,1920
2710,2460
2711,540
2712,840
2713,960
2714,660
2715,1020
2716,600
2717,900
2718,900
2719,720
2720,780
2721,1020
2722,1680
2723,1020
2724,900
2725,960
2726,1080
2727,1020
2728,840
2729,840
2730,720
2731,1620
2732,780
2733,1020
2734,660
2735,600
2736,1020
2737,1560
2738,900
2739,900
2740,1380
2741,900
2742,960
2743,1140
2744,1200
2745,1260
2746,900
2747,900
2748,840
2749,1560
2750,960
